ID,Feature,Scenario,Expected Result,Last tested by,29-10-2025,01-11-2025,08-11-2025
1,General UI/UX Test Cases,Verify all pages are fully responsive (320px to 1440px),All components adjust layout correctly without overlapping or breaking.,,Not tested,,
2,General UI/UX Test Cases,"Verify consistent use of colors, fonts, and button styles",Same design system across pages.,,Not tested,,
3,General UI/UX Test Cases,Verify hover/focus/disabled/loading states for all buttons,Proper visual feedback shown.,,Not tested,,
4,General UI/UX Test Cases,Verify animations/transitions work smoothly,No jitter or lag in UI transitions.,,Not tested,,
5,General UI/UX Test Cases,Test layout with Flexbox/Grid at different breakpoints,Proper alignment and spacing.,,Not tested,,
6,General UI/UX Test Cases,"Test accessibility: tab navigation, aria labels, focus indicators",Accessible and keyboard-friendly UI.,,Not tested,,
7,Speech / Recording Page Test Cases,Start speech recognition,Mic permission prompt appears and recognition starts.,kvamsi82,Pass,,
8,Speech / Recording Page Test Cases,Stop speech recognition,Recognition stops and transcript displays text.,kvamsi82,Pass,,
9,Speech / Recording Page Test Cases,Timer starts on recording start,Timer increments correctly every second.,kvamsi82,Pass,,
10,Speech / Recording Page Test Cases,Timer stops when recording stops,Timer freezes on stop.,kvamsi82,Pass,,
11,Speech / Recording Page Test Cases,"Reset button resets timer, transcript, and recording",All states clear to default.,,Not tested,,
12,Speech / Recording Page Test Cases,Custom input (manual text entry) works,Typed text appears in transcript area.,,Not tested,,
13,Speech / Recording Page Test Cases,Delete recording removes it from list,Recording disappears immediately.,,Not tested,,
14,Speech / Recording Page Test Cases,Filter by date shows only recordings from selected date,Correct filtered list shown.,,Not tested,,
15,Speech / Recording Page Test Cases,Download recording,Audio file downloads successfully.,kvamsi82,Fail,,
16,Speech / Recording Page Test Cases,Handle speech recognition failure,Fallback to manual input enabled.,,Not tested,,
17,Speech / Recording Page Test Cases,"AI-generated feedback after recording (clarity, tone, fluency)",Feedback section updates accurately after each answer.,kvamsi82,Fail,,
18,Speech / Recording Page Test Cases,Audio waveform visualization during recording,Real-time waveform reacts to user speech input.,kvamsi82,Fail,,
19,Speech / Recording Page Test Cases,Card/list layout for recordings visible,"Date, time, and duration shown clearly.",kvamsi82,Fail,,
20,Speech / Recording Page Test Cases,Hover/focus effects on Play/Delete buttons,Visual feedback visible.,kvamsi82,Fail,,
21,Speech / Recording Page Test Cases,"Icons and labels clear (Start, Stop, Reset)",Buttons visually distinct.,,Not tested,,
22,Speech / Recording Page Test Cases,Loading spinner when processing,Spinner visible during save/download.,,Not tested,,
23,Speech / Recording Page Test Cases,Responsive layout for mobile view,Cards stack vertically and text wraps properly.,,Not tested,,
24,Interview Page Test Cases,Start Interview button begins question flow,First question appears.,kvamsi82,Pass,,
25,Interview Page Test Cases,Recording starts after question prompt,Mic activates correctly.,kvamsi82,Fail,,
26,Interview Page Test Cases,Timer runs for each question,Timer resets and starts for each new question.,kvamsi82,Fail,,
27,Interview Page Test Cases,Next question appears after answer,Sequential question flow maintained.,kvamsi82,Fail,,
28,Interview Page Test Cases,End interview saves all responses,All data stored in backend/local DB.,kvamsi82,Fail,,
29,Interview Page Test Cases,Progress bar updates with each question,Progress % reflects correctly.,,Not tested,,
30,Interview Page Test Cases,Handle multiple question sets (predefined/dynamic),Correct questions fetched.,,Not tested,,
31,Interview Page Test Cases,Stepper component shows current question,Active step highlighted.,,Not tested,,
32,Interview Page Test Cases,Progress bar visible and animated,Smooth transition per question.,,Not tested,,
33,Interview Page Test Cases,Feedback (recorded / saved) message displayed,User gets confirmation.,kvamsi82,Fail,,
34,Interview Page Test Cases,Modal/card layout responsive,Fits on mobile screens.,,Not tested,,
35,Interview Page Test Cases,Buttons disabled during recording,Prevent accidental clicks.,,Not tested,,
36,Interview Insights Page Test Cases,Total answers count displayed correctly,Matches backend data.,,Not tested,,
37,Interview Insights Page Test Cases,Average response time computed correctly,Matches time logs.,,Not tested,,
38,Interview Insights Page Test Cases,Speech clarity score displays correctly,Metric consistent.,,Not tested,,
39,Interview Insights Page Test Cases,Charts render properly using Recharts/Chart.js,No blank chart or crash.,,Not tested,,
40,Interview Insights Page Test Cases,Hover tooltip displays exact values,Tooltip text matches chart data.,,Not tested,,
41,Interview Insights Page Test Cases,Color coding consistent across charts,Each metric distinct.,,Not tested,,
42,Interview Insights Page Test Cases,Loading skeleton visible before data loads,Smooth transition from loading to chart.,,Not tested,,
43,Interview Insights Page Test Cases,Responsive layout for all chart sections,Adjusts on mobile/tablet.,,Not tested,,
44,Interview Insights Page Test Cases,Sentiment analysis score visible for each answer,Displays correct sentiment label (Positive/Neutral/Negative).,,Not tested,,
45,Interview Insights Page Test Cases,Download insights report as PDF or CSV,Exports complete data file with charts and metrics intact.,kvamsi82,Fail,,
46,Profile Page Test Cases,Required fields validation triggers,“This field is required” shown.,,Not tested,,
47,Profile Page Test Cases,Invalid email triggers validation error,“Enter valid email” shown.,,Not tested,,
48,Profile Page Test Cases,Invalid phone format triggers validation error,“Enter valid phone number” shown.,,Not tested,,
49,Profile Page Test Cases,Password too short triggers error,Password length >= 8 enforced.,,Not tested,,
50,Profile Page Test Cases,Resume upload accepts only PDF/DOCX,Other formats rejected.,kvamsi82,Fail,,
51,Profile Page Test Cases,Resume file size limit validation,Files > 5MB rejected.,,Not tested,,
52,Profile Page Test Cases,"Resume parser extracts Name, Email, Skills",Fields auto-filled correctly.,,Not tested,,
53,Profile Page Test Cases,Save button disabled until all fields valid,Button only activates on valid form.,,Not tested,,
54,Profile Page Test Cases,Successful form save updates profile,Confirmation toast or message shown.,kvamsi82,Pass,,
55,Profile Page Test Cases,Error messages displayed inline under fields,Consistent error placement.,,Not tested,,
56,Profile Page Test Cases,Responsive layout on all devices,Form resizes smoothly.,,Not tested,,
57,Profile Page Test Cases,Focus/hover styles on input fields,Proper visual feedback.,,Not tested,,
58,Optional Enhancements Test Cases,Toggle between dark and light mode,Theme switches instantly and persists.,,Not tested,,
59,Optional Enhancements Test Cases,Tooltips appear on hover of icons/buttons,Helpful hints visible.,,Not tested,,
60,Optional Enhancements Test Cases,Loading skeletons appear before data loads,Smooth visual transition.,,Not tested,,
61,Optional Enhancements Test Cases,Responsive modals scale on small screens,Fit mobile view neatly.,,Not tested,,
